OpenMP,16,64,442000,557864,881900000
OpenMP,16,256,1048000,1148987,1349360000
OpenMP,16,1024,4449000,4541300,3859954000
OpenMP,16,4096,14635000,15149352,12046942000
OpenMP,16,16384,54035000,59144912,45794440000
OpenMP,32,64,384000,636482,718104000
OpenMP,32,256,1535000,1800766,1117038000
OpenMP,32,1024,5059000,5257214,2671170000
OpenMP,32,4096,16788000,17287492,8007380000
OpenMP,32,16384,61862000,61942204,28163944000
OpenMP,64,64,419000,1069961,694730000
OpenMP,64,256,1558000,2248477,983866000
OpenMP,64,1024,4543000,5212146,1841023000
OpenMP,64,4096,16196000,16744063,5206852000
OpenMP,64,16384,59868000,60947133,18415023000
OpenMP,128,64,414000,2599341,730029000
OpenMP,128,256,1401000,3576316,900427000
OpenMP,128,1024,4300000,6223025,1536462000
OpenMP,128,4096,18458000,20347468,4183815000
OpenMP,128,16384,63026000,66125822,14043304000
OpenMP,256,64,1852000,9269000,909617000
OpenMP,256,256,3253000,10594500,1046380000
OpenMP,256,1024,8766000,16264800,1674720000
OpenMP,256,4096,40210000,48476000,4530949000
OpenMP,256,16384,117596000,132809175,14174705000
