OpenMP,16,1000,250,602849529000,120260396000,119280333000,980044000,602853978000,602853978000,605413
OpenMP,16,1000,500,1219133500000,242677467000,241146321000,1522179000,1219137910000,1219137910000,1221806
OpenMP,16,1000,1000,2382387881000,474022346000,471187089000,2866645000,2382391804000,2382391804000,2385128
OpenMP,16,1000,2000,4719429750000,943292073000,936203941000,7101046000,4719435089000,4719435089000,4721947
OpenMP,32,1000,250,318265339000,63219906000,62251930000,985543000,318268694000,318268694000,320791
OpenMP,32,1000,500,621373316000,124248518000,122665740000,1583849000,621377355000,621377355000,623777
OpenMP,32,1000,1000,1237007936000,248727918000,245654099000,3075768000,1237011817000,1237011817000,1239445
OpenMP,32,1000,2000,2472160186000,491467208000,484862039000,6605003000,2472165820000,2472165820000,2474544
OpenMP,64,1000,250,255321097000,50385082000,49630588000,747633000,255324537000,255324537000,257984
OpenMP,64,1000,500,539180592000,108636569000,107150670000,1485844000,539184974000,539184974000,541869
OpenMP,64,1000,1000,1103701146000,222106268000,219052668000,3015103000,1103705411000,1103705411000,1106417
OpenMP,64,1000,2000,2215439296000,443800471000,437904724000,5880617000,2215443614000,2215443614000,2217870
OpenMP,128,1000,250,191161799000,37280380000,36591621000,703904000,191165165000,191165165000,194015
OpenMP,128,1000,500,394237080000,78114171000,76675517000,1460327000,394240083000,394240083000,396735
OpenMP,128,1000,1000,816205749000,163000237000,160032836000,2962250000,816209092000,816209092000,818682
OpenMP,128,1000,2000,1666669498000,333714882000,327611581000,6110835000,1666673376000,1666673376000,1669280
OpenMP,256,1000,250,184786357000,36762785000,36111929000,673977000,184790466000,184790466000,187790
OpenMP,256,1000,500,333380988000,64258486000,62992425000,1276553000,333384978000,333384978000,336096
OpenMP,256,1000,1000,676548621000,136095191000,133603850000,2491267000,676552112000,676552112000,679266
OpenMP,256,1000,2000,1398922742000,278770726000,273716329000,5096830000,1398926455000,1398926455000,1401980
